Register   |    Hex |      Dec
------------------------------
       100 |   0000 |        0
       101 |   0000 |        0
       102 |   0000 |        0
       103 |   0000 |        0
       104 |   0040 |       64 	// Ezek egyenként 0-át adnak vissza, de csoportosan ok
       105 |   0240 |      576 	// Ezek egyenként 0-át adnak vissza, de csoportosan ok
       106 |   0000 |        0
       107 |   0000 |        0
       108 |   0040 |       64 	// Ezek egyenként 0-át adnak vissza, de csoportosan ok
       109 |   0040 |       64 	// Ezek egyenként 0-át adnak vissza, de csoportosan ok
       110 |   0000 |        0
       111 |   0000 |        0
       112 |   12A8 |     4776
       113 |   3833 |    14387
       114 |   0000 |        0
       115 |   0000 |        0
       116 |   0000 |        0
       117 |   0000 |        0
       118 |   0000 |        0
       119 |   0000 |        0
       120 |   0000 |        0
       121 |   0000 |        0
       122 |   0000 |        0
       123 |   0000 |        0
       124 |   0000 |        0
       125 |   0000 |        0
       126 |   0000 |        0
       127 |   0000 |        0
       128 |   0000 |        0
       129 |   0000 |        0
       130 |   0000 |        0
       131 |   0000 |        0
       132 |   0000 |        0
       133 |   0000 |        0
       134 |   0000 |        0
       135 |   0000 |        0
       136 |   0000 |        0
       137 |   0000 |        0
       138 |   0000 |        0
       139 |   0000 |        0
       140 |   0000 |        0
       141 |   0000 |        0
       142 |   0000 |        0
       143 |   0000 |        0
       144 |   0000 |        0
       145 |   0000 |        0
       146 |   0000 |        0
       147 |   0000 |        0
       148 |   0000 |        0
       149 |   0000 |        0
       150 |   0000 |        0
       151 |   0000 |        0
       152 |   0000 |        0
       153 |   0000 |        0
       154 |   0000 |        0
       155 |   0000 |        0
       156 |   0000 |        0
       157 |   0000 |        0
       158 |   0000 |        0
       159 |   0000 |        0
       160 |   0000 |        0
       161 |   0000 |        0
       162 |   0000 |        0
       163 |   0000 |        0
       164 |   0000 |        0
       165 |   0000 |        0
       166 |   0000 |        0
       167 |   0000 |        0
       168 |   0000 |        0
       169 |   0000 |        0
       170 |   0000 |        0
       171 |   8401 |    33793	Equipment type
       172 |   3030 |    12336
       173 |   3030 |    12336
       174 |   0000 |        0
       175 |   0000 |        0
       176 |   0000 |        0
       177 |   0000 |        0
       178 |   0000 |        0
       179 |   0000 |        0
       180 |   0000 |        0
       181 |   0000 |        0
       182 |   0000 |        0
       183 |   0000 |        0
       184 |   0004 |        4
       185 |   0000 |        0
       186 |   3932 |    14642
       187 |   4233 |    16947
       188 |   3235 |    12853
       189 |   3035 |    12341
       190 |   3130 |    12592
       191 |   3538 |    13624
       192 |   3533 |    13619
       193 |   0000 |        0
       194 |   0000 |        0
       195 |   0000 |        0
       196 |   0000 |        0
       197 |   0000 |        0
       198 |   0C44 |     3140
       199 |   0000 |        0
       200 |   9000 |   -32127
       201 |   0004 |        2
       202 |   0000 |        0
       203 |   1389 |     5003	Grid Frequency(Hz) (* 0,01)
       204 |   0000 |        0
       205 |   0000 |        0
       206 |   0000 |       74
